SMILES,DS,QED,SA,SIM
OCCC1=Nc2ccccc2-c2ncnc3[nH]cc1c23,7.5,0.7461835887409485,0.7811195110726883,0.8444444444444444
CCCCCCC1=Nc2ccccc2-c2ncnc3[nH]cc1c23,7.4,0.6720595709170122,0.8015407542346823,0.7755102040816326
OCCO,3.0,0.407527890666417,0.8581350461189423,0.0909090909090909
c1ccc2c(c1)N=C(CCC1CC1)c1c[nH]c3ncnc-2c13,8.7,0.7829630669861743,0.7856452811541342,0.6730769230769231
OCCC1=Nc2ccccc2-c2ncnc3[nH]cc1c23,7.7,0.7461835887409485,0.7811195110726883,0.8444444444444444
OCCCCC1=Nc2ccccc2-c2ncnc3[nH]cc1c23,7.6,0.7249797842530725,0.7900985355920039,1.0
OCCCc1nc(CCC2=Nc3ccccc3-c3ncnc4[nH]cc2c34)co1,9.2,0.5377295270161572,0.7542466748335895,0.7017543859649122
OCCC1=Nc2ccccc2-c2ncnc3[nH]cc1c23,7.7,0.7461835887409485,0.7811195110726883,0.8444444444444444
CCCC1=Nc2ccccc2-c2ncnc3[nH]cc1c23,7.8,0.7620289695176204,0.7951249869527405,0.7291666666666666
OCCC1=Nc2ccccc2-c2ncnc3[nH]cc1c23,7.6,0.7461835887409485,0.7811195110726883,0.8444444444444444
O=C(CCCCCC1=Nc2ccccc2-c2ncnc3[nH]cc1c23)C1=Nc2ccccc2-c2ncnc3[nH]cc1c23,8.6,0.2209965844070236,0.7191811242271763,0.7090909090909091
OCCCCC1=Nc2ccccc2-c2ncnc3[nH]cc1c23,7.0,0.7249797842530725,0.7900985355920039,1.0
OCCCCC1=Nc2ccccc2-c2ncnc3[nH]cc1c23,7.7,0.7249797842530725,0.7900985355920039,1.0
OCCCCC1=Nc2ccccc2-c2ncnc3[nH]cc1c23,7.6,0.7249797842530725,0.7900985355920039,1.0
OCCO,2.9,0.407527890666417,0.8581350461189423,0.0909090909090909
OCCC1=Nc2ccccc2-c2ncnc3[nH]cc1c23,7.5,0.7461835887409485,0.7811195110726883,0.8444444444444444
OCCCCCc1ccc(C2=Nc3ccccc3-c3ncnc4[nH]cc2c34)c(F)c1,7.3,0.3960828084585581,0.7983654143888413,0.6440677966101694
OCCC1=Nc2ccccc2-c2ncnc3[nH]cc1c23,7.5,0.7461835887409485,0.7811195110726883,0.8444444444444444
OCCCCC1=Nc2ccccc2-c2ncnc3[nH]cc1c23,7.5,0.7249797842530725,0.7900985355920039,1.0
OCCC1=Nc2ccccc2-c2ncnc3[nH]cc1c23,7.7,0.7461835887409485,0.7811195110726883,0.8444444444444444
Brc1ccc(CCCCC2=Nc3ccccc3-c3ncnc4[nH]cc2c34)cc1,10.2,0.3808000800273518,0.805928231830809,0.7307692307692307
CCOC1=Nc2ccccc2-c2ncnc3[nH]cc1c23,8.0,0.7343329983322748,0.7916279856489594,0.5660377358490566
OCCCCC1=Nc2ccccc2-c2ncnc3[nH]cc1c23,7.0,0.7249797842530725,0.7900985355920039,1.0
OCCO,3.1,0.407527890666417,0.8581350461189423,0.0909090909090909
OCCO,2.9,0.407527890666417,0.8581350461189423,0.0909090909090909
OCCO,3.1,0.407527890666417,0.8581350461189423,0.0909090909090909
