,SMILES,DOCKING,QED,SA,TOTAL,MOL,FPS,SIM
0,NC1=NN=CN1C(=O)CC1=C(C2=CC=CC=C2N2NC(=O)C=CC2=O)N=C2SCCN21,10.3,0.4714959953113354,0.7296344775695789,0.1771701631207944,<rdkit.Chem.rdchem.Mol object at 0x7f745698aac0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f745698aa50>,0.35064935064935066
1,CC1(C2=C(C[SH](=O)=O)C=C(N3CC=C(C4=CC=CC5=CC=CC=C54)CC3)C=C2)CCOCC1,10.9,0.5230753897698092,0.7478883346993541,0.2132050802865512,<rdkit.Chem.rdchem.Mol object at 0x7f745698ab30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f745698a9e0>,0.35526315789473684
2,FC1=CC(F)=C2OC(C3=CC=CC=C3C3CCNC(CCCC(F)(F)F)C3)CC2=C1,10.1,0.5753950896352821,0.6822297040817009,0.1982385689746308,<rdkit.Chem.rdchem.Mol object at 0x7f745698aba0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f745698a970>,0.3108108108108108
3,NC1=NC(=O)CC(C2=CC=C(N3CCCN4CCC[NH+]=C43)C=C2NC2=NNC(=O)C2)S1,7.2,0.4882924084853222,0.5984669395830529,0.1052016707980255,<rdkit.Chem.rdchem.Mol object at 0x7f745698ac10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f745698a900>,0.3
4,CC1=NC(C2=C(C(=O)CC(N)=S)C=C(CS(=O)(=O)C(C)C)C=C2)=CC2=C1CNC2=O,5.4,0.4962294255035976,0.7641724009208278,0.1023853045035547,<rdkit.Chem.rdchem.Mol object at 0x7f745698ac80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f745698a890>,0.4
5,CC1=CC=C2C(=C1)C(C)(C)C(=O)N2CC(=O)C1=CC=C(C2CC23CCCCC3)C=C1,11.3,0.5946475785796286,0.7219887991043255,0.2425708234991856,<rdkit.Chem.rdchem.Mol object at 0x7f745698acf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f745698a820>,0.4461538461538462
6,CC1=CC(C23CCCC2CN(C2=CC=CC=C2C2CC(=O)N=C(N)S2)C3)=C(C)C=C1O,11.3,0.737386630592153,0.6447712448344372,0.2686268180881132,<rdkit.Chem.rdchem.Mol object at 0x7f745698ad60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f745698a7b0>,0.2976190476190476
7,NC1=C(SC2=CC=C(C3=CC=CC=C3N3C=C4C(=O)NCCC4=N3)N=C2Cl)C(=O)NC1=O,11.0,0.394167774664312,0.7324037436597732,0.1587794745868012,<rdkit.Chem.rdchem.Mol object at 0x7f745698add0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f745698a740>,0.3108108108108108
8,CNC1=CC=CC(NC2=NC(=O)C(SC3=C(NC4=NC=C(I)C(N)=N4)C(=O)NC3=O)N=N2)=C1,5.7,0.2483262735822527,0.6404855034805778,0.0453290728333936,<rdkit.Chem.rdchem.Mol object at 0x7f745698ae40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f745698a6d0>,0.27906976744186046
9,CC1=CC(I)=CN=C1C1=CC=C(C2CNS(=O)(=O)N2)C(C2(S(=O)(=O)C3=CC=CC=C3)CCCC2)=C1,7.4,0.4108825678363554,0.6857017481582424,0.1042448711696605,<rdkit.Chem.rdchem.Mol object at 0x7f745698aeb0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f745698a660>,0.3026315789473684
10,CS(=O)CCC1=C(C2=C(Cl)C=NC=C2Cl)C=CC(C2CC3=CC(F)=CC(F)=C3O2)=C1,9.9,0.4660969654478477,0.6892421061369318,0.1590205587940071,<rdkit.Chem.rdchem.Mol object at 0x7f745698af20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f7454182040>,0.3125
11,CC(N=C1SCCN1C1=CC(N2CCCNS2(=O)=O)=CC=C1)NC1=C(Cl)C(=O)CCC1,9.6,0.6684259769663593,0.6513781322792453,0.2089910709327729,<rdkit.Chem.rdchem.Mol object at 0x7f745698af90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f74541820b0>,0.2894736842105263
12,CC1(C)CC(C2=CC=C(C(=O)CN3C(=O)CCCC4=C3C=CS4)C=C2)CC(C)(C)C1,7.4,0.5182301593937705,0.8041712002696271,0.1541959346393751,<rdkit.Chem.rdchem.Mol object at 0x7f74569b4040>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f7454182120>,0.45588235294117646
13,CC(C)S(=O)(=O)CC1=C(C2=C([O-])N=C(N)NC2=O)C=C(C2COC(=O)CN2C2=CC(=O)NO2)C=C1,9.8,0.374826689055266,0.6266419530921972,0.11509224296533,<rdkit.Chem.rdchem.Mol object at 0x7f74569b40b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f7454182190>,0.25
14,CC(O)C(=O)C1=CC(C(=O)CS(=O)CC=O)=C(N2CCC3=C2C=CC=C3CN2C(=O)CNC(=O)C3=CC=CC=C32)C=C1,9.6,0.2721376339919307,0.6588887193160214,0.0860680402265449,<rdkit.Chem.rdchem.Mol object at 0x7f74569b4120>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f7454182200>,0.43209876543209874
15,CCC(CO)CCC1=NCCN1C1=CC(C2(C)NC(=O)CNC2=O)=C(CC(C)(C)CO)C=C1,8.6,0.4263633545482025,0.6310035153623761,0.1156858134828926,<rdkit.Chem.rdchem.Mol object at 0x7f74569b4190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f7454182270>,0.26136363636363635
16,CC1=CC(N)=CC=C1C1=CC=CC(C2=CC=CC3=C2CCN3C2=CC=C3SCCN(C)C3=C2)=C1,8.9,0.3271350268123708,0.8094136004533866,0.1178304552495442,<rdkit.Chem.rdchem.Mol object at 0x7f74569b4200>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f74541822e0>,0.32
17,CC1CN(C2=CC=C(C(=O)N3CCCCO3)C(C3=CNN=C3O)=C2)CC(=O)N1C1C=CN=[NH+]1,6.9,0.6151190317941859,0.577326996253954,0.1225180639227103,<rdkit.Chem.rdchem.Mol object at 0x7f74569b4270>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f7454182350>,0.29545454545454547
18,CN1C(=O)OC(C2=CC=CC=C2C2=CC3=C(CCNC3)N=N2)C1(O)C1N=NN=C1C=O,9.4,0.7011941701474637,0.578464660407628,0.1906395423316557,<rdkit.Chem.rdchem.Mol object at 0x7f74569b42e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f74541823c0>,0.25
19,N#CC(=S)N(C1=CC=C(NC2=NC(=O)CS2)C(N2CCOC2=O)=C1)N1CC=CCC1,9.3,0.5565945632263889,0.6872625155435006,0.1778748595422739,<rdkit.Chem.rdchem.Mol object at 0x7f74569b4350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f7454182430>,0.28888888888888886
20,CC1=NNC(=O)C(C2=CC=C(C3=C(F)C(C#N)=C(F)C=C3)C=C2C23CCCC2CNC3)=C1,11.7,0.6499323147015122,0.6757773122489714,0.2569375649720532,<rdkit.Chem.rdchem.Mol object at 0x7f74569b43c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f74541824a0>,0.3013698630136986
21,O=C1CC(C2=CC=C(C3=CC=CC(Cl)=N3)C=C2C2=CC3=C(CCNC3)N=N2)CC(=O)N1,7.5,0.4865027020645951,0.7712777081467421,0.1407107583958418,<rdkit.Chem.rdchem.Mol object at 0x7f74569b4430>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f7454182510>,0.29508196721311475
22,CCS(=O)(=O)C1=C(N2CC(=O)N(C3C(=O)NC(=O)C3C)C(C)C2)C=C(C2(CO)CCC(C#N)=C2N)C=C1,5.9,0.4264816773550128,0.5792383217256034,0.0728751866561621,<rdkit.Chem.rdchem.Mol object at 0x7f74569b44a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f7454182580>,0.28378378378378377
23,CC(C)C1=NOC(C2=CC=CC(C3(C4=NC5=C(C=C4)CCCC5)COC(C)(C)OC3)=C2)C1,11.4,0.6373163654858415,0.6829014755922435,0.248077843253339,<rdkit.Chem.rdchem.Mol object at 0x7f74569b4510>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f74541825f0>,0.2631578947368421
