call_idx,smiles,score
1,Cn1c(C(=O)NC2CCc3cc(C#N)ccc32)cc2c(=O)n3ccccc3nc21,0.5755495049682996
2,COCCC(C)Nc1ncnc2sc(-c3ccccc3)cc12,0.7408281803177504
3,CC(NC(=O)C(=O)NCC1(C)CCCS1)c1cccc(C(F)(F)F)c1,0.7954960094342135
4,COc1nc(C)ccc1C(=O)N1CC2COCC(C1)C2NC(=O)CCc1cnccc1C(F)(F)F,0.6666691947191512
5,CC1CCCc2c1nnn2-c1ccc(C(F)(F)F)cc1,0.7971413417065601
6,CNC(=O)c1cccc(NC(=O)C(=O)N2CCN(C(=O)N3CCCCC3)CC2)c1C,0.7049185454099222
7,Cc1cc(C)cc(NC(=O)c2cn(C(C)(C)C)nc2C)c1,0.911548045331228
8,CCn1cc(CC(=O)NC(CNC(=O)OC(C)(C)C)C2CCCCC2)c2ccccc21,0.6670231336266106
9,O=C1CC(CC(=O)N(CCO)CC2CC2)c2ccccc2N1,0.8406219650776047
10,CCOC(=O)C(OCc1c(OC)cccc1C(=O)OC)c1ccccc1F,0.6574985808525448
11,O=C(c1ccc(O)c([N+](=O)[O-])c1)N1CCC(c2nc3ccccc3s2)CC1,0.5459215422034498
12,CC(C)N1CC(C(=O)Nc2ccnn2-c2ccc([N+](=O)[O-])cc2)CC1=O,0.6496457331592563
13,Cc1cncc(CC(=O)N2CCCCC2CNC(=O)CC2CC2C2CC2)c1,0.8038218760014244
14,COC(=O)c1ccc(NC(=O)N2CCC(OC3CCOC3)CC2)cc1C(=O)OC,0.746700298093037
15,O=C(O)C1CN(C(=O)c2cc[nH]c2)CC1c1ccccc1,0.9044742667754533
16,Cc1ccc2c(c1)CN(C(=O)C(=O)N1CCC(C)(O)C1)CCO2,0.7150092368347812
17,COc1ccc(N2OC(CO)C(c3ccccc3)O2)cc1C,0.9408167453176093
18,CN(C)C(=O)c1ccc(Cl)c(NCC(O)=Nc2ccc(F)c(F)c2F)c1,0.4612301001378945
19,N#Cc1cccc(C2CN(C(=O)c3cc(F)ccc3Cl)CCO2)c1,0.8365811503862051
20,CN1CCC(N(Cc2ccccc2)C(O)=Nc2ccc(Cl)cc2F)CC1,0.6255970684931607
21,COc1ccccc1-n1c(C)cc(N2CCC3OCC(=O)NC3C2)c1C,0.9170883967534181
22,Cc1cc(C)c2sccc2c1C,0.572035219936423
23,O=C(O)C1CC(=O)N(c2ccccc2C(O)=Nc2ccccc2F)C1,0.6602191959457108
24,O=C1CC(C2CCN(C(=O)Cc3cncnc3)CC2)CN1,0.8730183239463148
25,N#Cc1cccc(-c2noc(Cc3ccc(Br)c(Cl)c3)n2)c1,0.6711025963751589
26,Cc1cnccc1OC1CCN(C(=O)c2ccc3c(c2)OCCN3C)C1,0.8486546420558811
27,CC1CCCc2nnc(-c3ccc([N+](=O)[O-])o3)n21,0.6009004788215835
