call_idx,smiles,score,sa_raw
1,CCOC1(c2nnc(N3CCC(C)CC3)n2CCC2(C)CC2)CCOC1,0.6914441992274817,3.777002206953
2,Cc1ccc(NC(=O)C(=O)NC2CC(C)N(c3ccccc3)C2=O)cc1C(=O)N1CCCCC1,0.7632672603721953,3.130594656650
3,CCS(=O)(=O)CC(=O)N1CCC2(CCCN(C(=O)CCC(C)=O)C2)CC1,0.7616201091569127,3.145419017588
4,CCC(C)c1ccccc1N1CC(c2nc(Cc3cscn3)no2)CC1=O,0.7237298085765769,3.486431722811
5,O=C(COC(=O)C(F)(F)F)N1CCC(C2CCCCN2C(=O)Cc2cccc(F)c2)CC1,0.7868150207427451,2.918664813315
6,COc1ccc(NC(=O)c2cnn(-c3ccc(Br)cc3)c2C)nn1,0.8601174963892438,2.258942532497
7,Cc1cnc2c(c1)N(C(=O)COC1CCOCC1)CCN2,0.8051278701131134,2.753849168982
8,CC(C)CN(C(=O)C(=O)N1CCN(c2ncc(F)cn2)CC1)C1CCCC1,0.8167189552073812,2.649529403134
9,CCCC(C(=O)N1CCN(C(=O)C2(NC(N)=O)CC2)CC1)C(C)C,0.7592962809929751,3.166333471063
10,CC(C)(C)C1CCN(c2ccc([N+](=O)[O-])s2)CC1O,0.6941024029848492,3.753078373136
11,CCc1nn(C)c(CC)c1CNS(=O)(=O)C1CC1c1cccc(F)c1,0.7103143370231303,3.607170966792
12,COC(COC(=O)c1cccnc1OCC(F)F)c1ccc(F)cc1,0.7853446374288937,2.931898263140
13,O=C(c1ccc(F)cc1)N1CCOCC2(C1)CN(C(=O)c1cc3c(Cl)cccc3s1)CCO2,0.7137245995287905,3.576478604241
14,CC1C(CO)CCN1S(=O)(=O)c1ccc(CC#N)cc1F,0.7281515774355057,3.446635803080
15,CC(NC(=O)NC1CC2CC(=O)C1C2)C1CCCCCC1,0.6212214553109363,4.409006902202
16,CNC(=O)CCCN(C)c1nnc(-c2ccc3ccccc3n2)n1CC1CC1(C)C,0.7393599921454981,3.345760070691
17,CCCC(OC)C(=O)NC1(CNC(=O)c2ccc[nH]2)CCOCC1,0.729450890721482,3.434941983507
18,O=C(Nc1cnc2c(c1)COCC2)C(Oc1cccc(Cl)c1Cl)c1ccccc1,0.7829511754431098,2.953439421012
19,Cc1cc(C(=O)NCc2cnc(C)n(C)c2=O)ncc1[N+](=O)[O-],0.8165540588617439,2.651013470244
20,CN(Cc1nccn1Cc1ccccc1)S(=O)(=O)Cc1cc(F)cc(F)c1,0.845318347919932,2.392134868721
21,COc1ccc(CNC(=O)CCS(=O)(=O)C2CCCC2)c(C)c1OC,0.8429831588194665,2.413151570625
22,CN(Cc1nccn1C)C(=O)C1CC(=O)N(c2ccccc2Br)C1,0.7944981825429179,2.849516357114
23,CC(C)CN1CC2CN(c3nnc(-c4cccnc4)n3CC(=O)NC(C)C)CCN2C1=O,0.7410645933923177,3.330418659469
24,Cc1ncc(C(=O)NCC2OCC3CCN(C(=O)Cc4ccc5ccccc5c4)CC32)cn1,0.7119877591104369,3.592110168006
25,Cc1cnc2nc(C(=O)N3CCCC(OCCO)C3)nn2c1,0.7534356471823487,3.219079175359
