SMILES,DS,QED,SA,SIM
CCC(=O)Nc1nc(-c2ccc3nc(-c4ccc(OC(F)(F)F)cc4)sc3c2)c(C)s1,7.3,0.3602492634405558,0.8381542303984367,0.1102097221149773
Cc1ccc2[nH]c(-c3ccc(CCC(=O)NC4=NCCS4)cc3[N+](=O)[O-])cc2c1,8.5,0.48789291371292137,0.8098564874553185,0.1679273775754021
CCNc1n[nH+]c(-c2cnc(C)c3ncn(C)c(=O)ccn(C(=O)c4ccc(=O)[nH]n4)c(=O)c23)c(C)c1C,8.8,0.39428193630858654,0.6243509249812422,0.10831492832057096
CCN[C@H](C(=O)N(C)C)c1ncccc1CNC(C)=O,6.3,0.7924192060975399,0.7731440575893987,0.19298607309891694
NC(=O)c1ccc(=O)n(-c2nc3c(c(-c4ccc(C(F)(F)F)c(F)c4)n2)CCC3)n1,7.9,0.6570881537693377,0.8008886745624026,0.20787051191447753
Cc1cccc(C2([Se]c3ccc(-c4ccc(F)c(O)c4)cc3)CCC2)c1,8.5,0.6048792497993435,0.7939151341113371,0.20409468605838454
Cn1c(-c2ccc(OCC(=O)c3cccnc3)cc2)cc2c1CCN(n1cnc3c(c1=O)CCCC3)C2,7.5,0.3811499032823813,0.7620264078627687,0.10891735937081802
Cc1cccc(NC(=O)NC2=NN(C)C(=N)/C2=N\NNC(=O)Cc2cccc(F)c2)c1,8.5,0.4672501317615065,0.7783735053763324,0.15457042725237172
CC(C)(C)C(=O)NC(=O)c1ccc(NCC(=O)N2CCCCC2)cc1C(=O)N1CCOCC1(C)C,7.6,0.6625954788315149,0.7991209267840917,0.20120768698817992
COc1cc(=O)c(CNC(=O)N2CCCC2)nn1C1(OC)CCC1,6.8,0.8682184075005084,0.7541597432994889,0.2226236262516813
CC1CCN(C(=O)NCc2ccc(N[C@H]3CCCN(S(C)(=O)=O)C3)cc2)CC1,7.8,0.7841763185918186,0.8106435570482814,0.24791811729995628
O=C(NCC(=O)N1CCCCC1)NN=C1CCCCC1,6.6,0.7709024550339477,0.8459726334033092,0.2152135853941078
O=C([O-])CCC(=O)CCC(=O)CN(CCC(=O)NC1=NCCS1)C(=O)Nc1nncs1,7.3,0.40604435974306174,0.72516590148597,0.10747407632437538
CC(=O)NCc1cccnc1-c1c(C)cc(-c2ccc(-c3c4c(nn3C)CCCC4)cc2)n1C,7.2,0.4636086254956141,0.7866328172045621,0.1312883132954219
O=C(CNc1cc(F)cc(-n2cnc3c(c2=O)CCCC3)c1)N1CCCCC1,7.8,0.8801647239614067,0.8235385729102264,0.2826913442718691
CCC(=O)N(C)CC(=O)NCC(=O)NCCC(=O)CNC1(c2cccc(C)c2)CCC1,5.7,0.45901194016679553,0.8072490304192408,0.10560302894039258
